Set_Number	Individual_ID	OneWayAcc	TwoWayAcc	FourWayAcc	Best
103	40	0.500333	0.508667	0.911	0
103	41	0.501333	0.502667	0.895667	0
103	42	0.501333	0.503667	0.9	0
103	43	0.502	0.51	0.914667	0
103	44	0.502	0.508333	0.913333	0
103	45	0.501667	0.507667	0.911333	0
103	46	0.501333	0.507667	0.910667	0
104	1	0.5	0.507333	0.871667	0
104	2	0.500333	0.516667	0.886333	0
104	3	0.500333	0.502	0.859667	0
104	4	0.500333	0.504333	0.87	0
104	5	0.500667	0.502667	0.862667	0
104	6	0.500333	0.507333	0.876	0
104	7	0.500667	0.505333	0.874667	0
104	8	0.500333	0.516	0.886	0
104	9	0.501	0.51	0.882	0
104	10	0.500333	0.508	0.878333	0
104	11	0.500667	0.505	0.874333	0
104	12	0.501	0.507667	0.879667	0
104	13	0.500333	0.503667	0.869333	0
104	14	0.500667	0.519333	0.895333	0
104	15	0.500333	0.511333	0.883667	0
104	16	0.500333	0.505667	0.872667	0
104	17	0.500667	0.506	0.876	0
104	18	0.500667	0.510667	0.882667	0
104	19	0.500333	0.518	0.893	0
104	20	0.500333	0.517333	0.891333	0
104	21	0.500667	0.516667	0.893	0
104	22	0.500333	0.503	0.860333	0
104	23	0.500667	0.507333	0.879333	0
104	24	0.500667	0.507	0.878333	0
104	25	0.501	0.509333	0.881333	0
104	26	0.501333	0.520667	0.897667	0
104	27	0.500333	0.505	0.872	0
104	28	0.500333	0.51	0.881333	0
104	29	0.501	0.504	0.870333	0
104	30	0.500333	0.507667	0.877667	0
104	31	0.501333	0.515	0.887333	0
104	32	0.501	0.518667	0.894	0
104	33	0.500667	0.511	0.884333	0
104	34	0.501	0.520667	0.897333	0
104	35	0.500667	0.509667	0.881	0
104	36	0.501333	0.519	0.897	0
104	37	0.500667	0.504667	0.871667	0
104	38	0.501333	0.505667	0.875667	0
104	39	0.501	0.516	0.891333	0
104	40	0.501333	0.518667	0.895667	0
104	41	0.500667	0.518	0.893667	0
104	42	0.500333	0.506667	0.875333	0
104	43	0.500667	0.520667	0.897	0
104	44	0.500667	0.504333	0.870667	0
104	45	0.501333	0.512667	0.886667	0
104	46	0.501333	0.508333	0.881333	0
104	47	0.502	0.515333	0.889333	0
104	48	0.502	0.515	0.888667	0
104	49	0.501	0.507	0.879	0
104	50	0.501	0.506667	0.878	0
104	51	0.500667	0.515333	0.886	0
104	52	0.501333	0.515333	0.887667	0
104	53	0.501667	0.517	0.894	0
104	54	0.500333	0.517667	0.892333	0
104	55	0.500667	0.508667	0.88	0
104	56	0.501333	0.517667	0.894667	0
104	57	0.501667	0.514667	0.888	0
104	58	0.500667	0.503333	0.863	0
104	59	0.500333	0.511	0.883	0
104	60	0.501	0.52	0.897	0
104	61	0.501	0.512667	0.886333	0
104	62	0.501333	0.510333	0.883333	0
104	63	0.501667	0.518	0.895	0
104	64	0.500667	0.504	0.869667	0
104	65	0.502	0.515667	0.889667	0
104	66	0.500667	0.513333	0.885667	0
104	67	0.500667	0.52	0.895667	0
104	68	0.500667	0.517	0.893333	0
104	69	0.501	0.510667	0.885	0
104	70	0.501	0.511	0.885667	1
104	71	0.500667	0.511667	0.885	0
104	72	0.501667	0.518333	0.895333	0
104	73	0.501	0.519	0.895333	0
104	74	0.502	0.517	0.895	0
104	75	0.500667	0.506667	0.877667	0
104	76	0.501333	0.517333	0.894	0
104	77	0.501	0.512333	0.886	0
105	1	0.5	0.515333	0.888333	0
105	2	0.500333	0.503	0.869	0
105	3	0.500333	0.502	0.862333	0
105	4	0.501333	0.506667	0.886667	0
105	5	0.5	0.516667	0.897333	0
105	6	0.500333	0.515333	0.897	0
105	7	0.501333	0.505333	0.877333	0
105	8	0.501333	0.515333	0.897667	0
105	9	0.500333	0.518333	0.899	0
105	10	0.500667	0.505	0.875	0
105	11	0.500667	0.515667	0.898	0
105	12	0.500667	0.515	0.897	0
105	13	0.500333	0.503333	0.869333	0
105	14	0.501	0.504667	0.874333	0
105	15	0.501	0.508	0.891	0
105	16	0.500667	0.506333	0.883667	0
105	17	0.500333	0.502667	0.866667	0
105	18	0.500667	0.51	0.893667	0
105	19	0.501333	0.516	0.899667	0
105	20	0.501	0.504333	0.871333	0
105	21	0.500333	0.502333	0.862667	0
105	22	0.500667	0.517	0.900667	0
105	23	0.501333	0.51	0.894333	0
105	24	0.501	0.507667	0.89	0
105	25	0.502333	0.508333	0.893	0
105	26	0.501333	0.504	0.871333	0
105	27	0.500333	0.507333	0.887	0
105	28	0.500667	0.502667	0.868333	0
105	29	0.501667	0.515	0.897333	0
105	30	0.502	0.506333	0.885333	0
105	31	0.501667	0.509667	0.895	1
105	32	0.500333	0.508	0.887667	0
105	33	0.500667	0.517333	0.901	0
105	34	0.500333	0.517667	0.898	0
105	35	0.501333	0.510333	0.895	0
105	36	0.501667	0.507667	0.890333	0
105	37	0.501	0.514333	0.896	0
105	38	0.500667	0.503667	0.87	0
105	39	0.501333	0.516667	0.901	0
105	40	0.502	0.51	0.895333	0
105	41	0.501	0.509333	0.893	0
105	42	0.501667	0.515667	0.9	0
105	43	0.500667	0.507667	0.889333	0
105	44	0.500667	0.516667	0.899333	0
105	45	0.501333	0.517333	0.902	0
105	46	0.500667	0.514333	0.895667	0
105	47	0.500333	0.518	0.898667	0
105	48	0.500333	0.505333	0.875	0
105	49	0.500333	0.515	0.896	0
105	50	0.501333	0.504333	0.873667	0
105	51	0.500667	0.508	0.890667	0
105	52	0.502	0.508667	0.893333	0
105	53	0.501333	0.514667	0.897	0
105	54	0.500333	0.517333	0.897667	0
105	55	0.501333	0.507333	0.889333	0
105	56	0.502	0.508333	0.892333	0
105	57	0.500667	0.509667	0.892667	0
105	58	0.500667	0.509333	0.892333	0
105	59	0.501	0.508667	0.892	0
105	60	0.502	0.516667	0.901333	0
105	61	0.501333	0.509667	0.894	0
105	62	0.502	0.516333	0.900333	0
105	63	0.502	0.517	0.902	0
105	64	0.500333	0.514667	0.894333	0
105	65	0.500667	0.502333	0.867667	0
105	66	0.500667	0.507	0.884667	0
105	67	0.5	0.506	0.874	0
105	68	0.500333	0.509333	0.89	0
105	69	0.501	0.507	0.886667	0
105	70	0.500667	0.514667	0.896667	0
105	71	0.500667	0.506	0.883333	0
105	72	0.501667	0.508667	0.893	0
105	73	0.501	0.51	0.894	0
105	74	0.501	0.511	0.894333	0
105	75	0.501	0.516667	0.900333	0
105	76	0.500333	0.509667	0.892333	0
105	77	0.501	0.509	0.892667	0
105	78	0.501333	0.515667	0.899	0
105	79	0.500667	0.518333	0.901667	0
105	80	0.500667	0.514	0.894667	0
105	81	0.502	0.509	0.893667	0
105	82	0.500333	0.514333	0.892667	0
105	83	0.501	0.516	0.898333	0
106	1	0.5	0.502333	0.798667	0
106	2	0.500333	0.502	0.846	0
106	3	0.500667	0.501667	0.799	0
106	4	0.500333	0.516333	0.886333	0
106	5	0.500333	0.517667	0.891667	0
106	6	0.500333	0.507667	0.877	0
106	7	0.501	0.505333	0.872667	0
106	8	0.500333	0.508	0.877333	0
106	9	0.500667	0.520333	0.896	0
106	10	0.500333	0.506333	0.874333	0
106	11	0.500333	0.507	0.876	0
106	12	0.500333	0.503333	0.867333	0
106	13	0.500667	0.506333	0.874667	0
106	14	0.500667	0.514	0.884	0
106	15	0.500333	0.515333	0.885	0
106	16	0.500333	0.502667	0.857667	0
106	17	0.500333	0.504667	0.869667	0
106	18	0.500667	0.513	0.881	0
106	19	0.500333	0.513333	0.879667	0
106	20	0.500333	0.518333	0.892667	0
106	21	0.500667	0.507	0.877	0
106	22	0.501333	0.508	0.879333	0
106	23	0.501667	0.515667	0.888667	0
106	24	0.500667	0.510333	0.879667	0
106	25	0.500333	0.506	0.873333	0
106	26	0.500667	0.513667	0.883667	0
106	27	0.502	0.512667	0.881	0
106	28	0.500667	0.516333	0.888	0
106	29	0.501	0.508333	0.879	0
106	30	0.500667	0.517333	0.892667	0
106	31	0.501	0.512667	0.880667	0
106	32	0.500667	0.518333	0.893333	0
106	33	0.501333	0.505333	0.873	0
106	34	0.500667	0.52	0.895	0
106	35	0.502667	0.515667	0.889	0
106	36	0.500333	0.504	0.868	0
106	37	0.502	0.513333	0.883333	0
106	38	0.500333	0.516667	0.887667	0
106	39	0.500667	0.51	0.878667	0
106	40	0.500333	0.503	0.865	0
106	41	0.501333	0.514	0.884667	0
106	42	0.501	0.514333	0.886	0
106	43	0.501667	0.518667	0.894333	0
106	44	0.501333	0.518667	0.894	0
106	45	0.500667	0.502333	0.857	0
106	46	0.500333	0.510667	0.878667	0
106	47	0.501	0.519333	0.895667	0
106	48	0.501333	0.514333	0.886333	0
106	49	0.501	0.508667	0.879667	0
106	50	0.501667	0.504667	0.872	0
106	51	0.501	0.518	0.893333	0
106	52	0.501	0.516333	0.891	1
106	53	0.500667	0.503333	0.870667	0
106	54	0.500333	0.510333	0.877667	0
106	55	0.500667	0.519	0.894333	0
106	56	0.501333	0.519	0.895	0
106	57	0.500667	0.512667	0.88	0
106	58	0.501	0.507667	0.878667	0
106	59	0.500667	0.517	0.892	0
106	60	0.500333	0.518	0.892	0
106	61	0.501333	0.505667	0.873333	0
106	62	0.500333	0.513667	0.881333	0
106	63	0.501	0.502667	0.864333	0
106	64	0.501667	0.517667	0.893	0
106	65	0.501	0.503333	0.871	0
106	66	0.501	0.505667	0.873	0
106	67	0.500333	0.504333	0.868667	0
106	68	0.501	0.506667	0.875333	0
106	69	0.500667	0.507667	0.877667	0
106	70	0.501333	0.515667	0.888	0
106	71	0.502	0.513	0.882667	0
106	72	0.501667	0.513333	0.882333	0
106	73	0.500667	0.516667	0.889333	0
106	74	0.500667	0.503	0.87	0
106	75	0.500667	0.519667	0.894667	0
106	76	0.500333	0.519667	0.894	0
106	77	0.501333	0.507333	0.878667	0
106	78	0.500667	0.508	0.878	0
106	79	0.500333	0.517	0.891	0
106	80	0.501	0.516667	0.891667	0
106	81	0.500667	0.502667	0.864	0
106	82	0.501	0.520333	0.896667	0
106	83	0.500333	0.502333	0.856	0
106	84	0.501333	0.503333	0.871333	0
106	85	0.500667	0.514667	0.887333	0
106	86	0.501	0.518333	0.893667	0
106	87	0.501333	0.513667	0.884	0
106	88	0.501333	0.519667	0.896	0
106	89	0.501333	0.509	0.88	0
106	90	0.501333	0.502667	0.865333	0
106	91	0.502	0.504333	0.872	0
106	92	0.501333	0.504333	0.871667	0
106	93	0.501333	0.516	0.889333	0
106	94	0.501333	0.513	0.881333	0
106	95	0.500667	0.504	0.871	0
107	1	0.500333	0.502	0.849	0
107	2	0.5	0.502333	0.825667	0
107	3	0.500333	0.506333	0.873333	0
107	4	0.500667	0.506333	0.874667	0
107	5	0.500333	0.522333	0.889667	0
107	6	0.500667	0.508333	0.881333	0
107	7	0.500333	0.512667	0.886	0
107	8	0.501	0.522	0.890667	0
107	9	0.500667	0.503333	0.864333	0
107	10	0.500667	0.503	0.863667	0
107	11	0.500333	0.522	0.889333	0
107	12	0.501333	0.521	0.890333	0
107	13	0.500667	0.513667	0.887	0
107	14	0.501	0.508	0.881667	0
107	15	0.501	0.503333	0.864667	0
107	16	0.500667	0.513	0.886667	0
107	17	0.500333	0.520667	0.887667	0
107	18	0.501333	0.512667	0.887333	0
107	19	0.501	0.507	0.879	0
107	20	0.500667	0.502667	0.862667	0
107	21	0.500333	0.504333	0.866333	0
107	22	0.500667	0.504667	0.867	0
107	23	0.500333	0.524333	0.890333	0
107	24	0.500667	0.506667	0.875	0
107	25	0.501	0.506	0.874667	0
107	26	0.501667	0.504333	0.867333	0
107	27	0.501667	0.524667	0.892667	0
107	28	0.501	0.508667	0.882667	0
107	29	0.501	0.512	0.886333	0
107	30	0.501333	0.507	0.879667	0
107	31	0.501667	0.506667	0.877	0
107	32	0.500333	0.502333	0.862	0
107	33	0.501	0.506667	0.875667	0
107	34	0.501667	0.504	0.866667	0
107	35	0.501333	0.522667	0.891667	0
107	36	0.500333	0.503333	0.863667	0
107	37	0.500333	0.505	0.867	0
107	38	0.500667	0.519667	0.888667	0
107	39	0.500667	0.516	0.887667	0
107	40	0.501667	0.512667	0.888	0
107	41	0.500333	0.508333	0.878667	0
107	42	0.502333	0.515	0.891	0
107	43	0.501333	0.514	0.889667	0
107	44	0.501	0.507667	0.880333	0
107	45	0.500667	0.520333	0.889	0
107	46	0.501	0.504333	0.866667	0
107	47	0.501	0.504	0.866	0
107	48	0.500667	0.511667	0.883667	0
107	49	0.502333	0.513667	0.889667	0
107	50	0.501333	0.508667	0.883	0
107	51	0.501333	0.509333	0.884	1
107	52	0.501333	0.525333	0.892333	0
107	53	0.500667	0.512	0.885333	0
107	54	0.502	0.506333	0.876333	0
107	55	0.501	0.515667	0.889	0
107	56	0.502667	0.516333	0.891333	0
107	57	0.501667	0.513667	0.889333	0
107	58	0.501667	0.513333	0.889	0
107	59	0.501	0.503667	0.865333	0
107	60	0.500667	0.524	0.890667	0
107	61	0.502	0.514333	0.890333	0
107	62	0.500333	0.507333	0.877667	0
107	63	0.501667	0.508667	0.883333	0
107	64	0.502	0.523333	0.893	0
107	65	0.500333	0.513667	0.886667	0
107	66	0.501	0.52	0.889333	0
107	67	0.500667	0.520667	0.889333	0
107	68	0.502667	0.514667	0.891	0
107	69	0.501333	0.503333	0.865	0
107	70	0.500333	0.512	0.882333	0
107	71	0.502333	0.504667	0.868	0
107	72	0.500333	0.508667	0.880667	0
107	73	0.502	0.524	0.893333	0
107	74	0.501	0.511333	0.885	0
107	75	0.501333	0.506333	0.875333	0
107	76	0.501333	0.523	0.892	0
107	77	0.500667	0.505	0.867333	0
107	78	0.500667	0.512333	0.886	0
107	79	0.501	0.514	0.887667	0
107	80	0.500667	0.505333	0.873667	0
107	81	0.500667	0.508	0.879667	0
107	82	0.500667	0.507667	0.879333	0
107	83	0.500667	0.509	0.882333	0
107	84	0.501667	0.506	0.875667	0
107	85	0.502333	0.506	0.876	0
107	86	0.501667	0.514667	0.890333	0
107	87	0.502	0.523	0.892667	0
107	88	0.502333	0.522667	0.892	0
108	1	0.500333	0.501667	0.868	0
108	2	0.500333	0.507	0.889	0
108	3	0.501	0.506667	0.889	0
108	4	0.5	0.507	0.887667	0
108	5	0.502333	0.507333	0.892333	0
108	6	0.502333	0.507	0.892	0
108	7	0.500667	0.509333	0.896	0
108	8	0.500333	0.503333	0.878	0
108	9	0.500667	0.505333	0.886667	0
108	10	0.500333	0.502667	0.875	0
108	11	0.500333	0.502333	0.873333	0
108	12	0.500667	0.507667	0.891333	0
108	13	0.500667	0.502	0.868333	0
108	14	0.501333	0.508	0.895667	1
108	15	0.501	0.507333	0.890667	0
108	16	0.502	0.506667	0.891	0
108	17	0.500667	0.504	0.880333	0
108	18	0.501667	0.507667	0.894667	0
108	19	0.501333	0.507	0.89	0
108	20	0.501	0.513667	0.898667	0
108	21	0.500333	0.506	0.887333	0
108	22	0.501	0.508667	0.895667	0
108	23	0.502	0.510667	0.900333	0
108	24	0.500333	0.508	0.891	0
108	25	0.501667	0.509667	0.898	0
108	26	0.501667	0.506333	0.889	0
108	27	0.501333	0.506	0.888333	0
108	28	0.501	0.503333	0.878333	0
108	29	0.501	0.509667	0.897333	0
108	30	0.500333	0.504667	0.881333	0
108	31	0.500333	0.507667	0.890333	0
108	32	0.501	0.506	0.888	0
108	33	0.501667	0.507333	0.892	0
108	34	0.500667	0.503	0.877667	0
108	35	0.501	0.508333	0.895333	0
108	36	0.501	0.509333	0.897	0
108	37	0.501	0.505333	0.887	0
108	38	0.500333	0.508667	0.893	0
108	39	0.500667	0.514	0.898333	0
108	40	0.500333	0.505333	0.885	0
108	41	0.501667	0.509	0.896667	0
108	42	0.501667	0.507	0.891333	0
108	43	0.501	0.511333	0.898	0
108	44	0.501333	0.510667	0.898	0
108	45	0.501333	0.507333	0.891333	0
108	46	0.501667	0.509333	0.897667	0
108	47	0.501333	0.506333	0.888667	0
108	48	0.500667	0.51	0.897	0
108	49	0.501	0.504333	0.883333	0
108	50	0.501333	0.507667	0.892667	0
108	51	0.500667	0.513667	0.898	0
108	52	0.501667	0.510333	0.899667	0
108	53	0.500667	0.507333	0.890333	0
108	54	0.500667	0.508333	0.894333	0
108	55	0.501	0.506333	0.888333	0
108	56	0.500333	0.503	0.877	0
108	57	0.500667	0.502333	0.875667	0
108	58	0.500333	0.51	0.895333	0
108	59	0.501	0.513333	0.898333	0
108	60	0.501	0.502667	0.876	0
108	61	0.501667	0.505	0.884667	0
108	62	0.500333	0.508333	0.892333	0
108	63	0.501	0.508	0.894333	0
108	64	0.500333	0.514	0.897	0
108	65	0.501333	0.509	0.896	0
108	66	0.501333	0.51	0.897667	0
108	67	0.500667	0.509667	0.896333	0
108	68	0.500667	0.504667	0.882	0
108	69	0.501333	0.511	0.899	0
108	70	0.500667	0.508	0.892667	0
108	71	0.500667	0.506	0.887667	0
109	1	0.5	0.503667	0.804667	0
109	2	0.5	0.506333	0.82	0
109	3	0.500333	0.510333	0.846667	0
109	4	0.500667	0.502667	0.814	0
109	5	0.500667	0.502	0.806	0
109	6	0.500667	0.501667	0.805333	0
109	7	0.500667	0.502333	0.806667	0
109	8	0.500333	0.501333	0.804667	0
109	9	0.501333	0.503	0.829667	0
109	10	0.500333	0.505333	0.831	0
109	11	0.502667	0.507	0.842	0
109	12	0.500667	0.525	0.868	0
109	13	0.500333	0.511	0.847667	0
109	14	0.501333	0.51	0.848667	0
109	15	0.501	0.512333	0.856333	0
109	16	0.500667	0.507333	0.839333	0
109	17	0.501	0.506333	0.839667	0
109	18	0.500667	0.508333	0.844	0
109	19	0.500333	0.503333	0.827667	0
109	20	0.501	0.505667	0.837	0
109	21	0.500333	0.506333	0.835	0
109	22	0.500667	0.516667	0.858333	0
109	23	0.5	0.511333	0.848	0
109	24	0.500667	0.511333	0.851667	0
109	25	0.500333	0.501667	0.805	0
109	26	0.500667	0.524	0.867667	0
109	27	0.500667	0.510667	0.848	0
109	28	0.501333	0.507333	0.842	0
109	29	0.500333	0.521333	0.861	0
109	30	0.501	0.505333	0.836	0
109	31	0.500667	0.512	0.855333	0
109	32	0.500667	0.523667	0.866	0
109	33	0.501	0.505	0.835	0
109	34	0.501333	0.511	0.852	0
109	35	0.500333	0.502667	0.805667	0
109	36	0.500667	0.51	0.847	0
109	37	0.500333	0.525	0.867333	0
109	38	0.500667	0.512333	0.855667	0
109	39	0.501667	0.513667	0.859333	0
109	40	0.500667	0.529	0.869333	0
109	41	0.500333	0.508333	0.840333	0
109	42	0.501	0.51	0.847333	0
109	43	0.501	0.506	0.838667	0
109	44	0.500333	0.521667	0.861333	0
109	45	0.502	0.526333	0.871	0
109	46	0.501667	0.507667	0.843667	0
109	47	0.500667	0.526	0.869	0
109	48	0.500667	0.511	0.848333	0
109	49	0.501333	0.512667	0.858333	0
109	50	0.501333	0.504	0.834	0
109	51	0.501667	0.526333	0.870667	0
109	52	0.5	0.508	0.839333	0
109	53	0.502667	0.526	0.870667	0
109	54	0.501	0.513	0.857	0
109	55	0.501667	0.510667	0.850333	0
109	56	0.501333	0.511333	0.853	0
109	57	0.500667	0.506333	0.838333	0
109	58	0.501	0.524333	0.868667	0
109	59	0.501333	0.502667	0.827333	0
109	60	0.501333	0.512333	0.857667	0
109	61	0.501	0.503333	0.829333	0
109	62	0.501	0.511	0.851333	0
109	63	0.500667	0.505667	0.836333	0
109	64	0.500667	0.504333	0.831	0
109	65	0.500333	0.513	0.856	0
109	66	0.501333	0.505667	0.837333	0
109	67	0.501	0.504	0.832333	0
109	68	0.502333	0.517333	0.861	0
109	69	0.500333	0.507	0.838	0
109	70	0.501667	0.508	0.844667	0
109	71	0.500333	0.520333	0.859333	0
109	72	0.500667	0.509333	0.845333	0
109	73	0.502	0.517667	0.861333	0
109	74	0.501667	0.518	0.861667	0
109	75	0.500333	0.509	0.843	0
109	76	0.500333	0.521	0.859667	0
