Set_Number	Individual_ID	OneWayAcc	TwoWayAcc	FiveWayAcc	Best
201	54	0.501333	0.514	0.880333	0
201	55	0.502333	0.514	0.881	0
201	56	0.501	0.51	0.865	0
201	57	0.501	0.513667	0.874333	0
201	58	0.502333	0.519667	0.89	0
201	59	0.500333	0.507	0.856	0
201	60	0.500333	0.513667	0.870333	0
201	61	0.502	0.513667	0.880333	0
201	62	0.501	0.510333	0.866333	0
201	63	0.501	0.516	0.885	0
201	64	0.500333	0.511	0.865667	0
201	65	0.503	0.519	0.889333	0
201	66	0.501	0.510667	0.867667	0
201	67	0.501333	0.505	0.836333	0
201	68	0.501	0.508	0.859667	0
201	69	0.500667	0.508333	0.858667	0
201	70	0.501333	0.509333	0.864667	0
201	71	0.501667	0.516667	0.886667	0
201	72	0.502	0.514667	0.882	0
201	73	0.500333	0.515	0.877333	0
201	74	0.502667	0.516	0.885667	0
201	75	0.501	0.503667	0.826	0
201	76	0.500667	0.515	0.878333	0
201	77	0.500667	0.512667	0.869667	0
201	78	0.502	0.509333	0.866	0
201	79	0.501667	0.510667	0.869	0
201	80	0.501333	0.511	0.869	0
201	81	0.501	0.517667	0.887333	0
201	82	0.500667	0.511333	0.868667	0
201	83	0.501667	0.517333	0.889	0
201	84	0.501	0.504	0.827667	0
201	85	0.501333	0.52	0.89	0
201	86	0.502333	0.519333	0.889333	0
201	87	0.501333	0.504667	0.828	0
201	88	0.501667	0.509667	0.868	0
201	89	0.502667	0.513	0.878667	0
201	90	0.500333	0.505667	0.838333	0
201	91	0.501	0.506333	0.848333	0
201	92	0.501	0.509	0.864333	0
201	93	0.500667	0.510667	0.865333	0
201	94	0.501	0.514	0.879	0
201	95	0.501333	0.515	0.882667	0
201	96	0.502	0.510333	0.869667	0
201	97	0.502	0.513333	0.879	0
201	98	0.501333	0.513333	0.877333	0
201	99	0.501667	0.513	0.878333	0
201	100	0.500333	0.508	0.856667	0
201	101	0.500333	0.516	0.880333	0
201	102	0.503	0.515	0.883667	0
201	103	0.500333	0.509	0.858333	0
201	104	0.501	0.512333	0.869333	0
201	105	0.501333	0.503667	0.827	0
201	106	0.500667	0.508667	0.861333	0
201	107	0.500667	0.513	0.87	0
201	108	0.503667	0.52	0.890667	0
201	109	0.502	0.515333	0.884	0
201	110	0.502	0.520667	0.890333	0
201	111	0.502	0.514333	0.881333	0
201	112	0.501667	0.519667	0.889667	0
201	113	0.502333	0.52	0.890333	0
201	114	0.501333	0.515333	0.883	0
201	115	0.501667	0.511	0.870333	0
201	116	0.501333	0.510667	0.868667	0
201	117	0.500333	0.504667	0.821	0
201	118	0.501	0.503	0.817	0
201	119	0.501667	0.507667	0.858333	0
201	120	0.501	0.514333	0.879667	0
201	121	0.501667	0.513667	0.879667	0
201	122	0.501333	0.513667	0.877667	0
201	123	0.500667	0.514667	0.876667	0
201	124	0.500667	0.504333	0.827	0
201	125	0.501333	0.515667	0.883333	0
201	126	0.502333	0.520333	0.891	0
202	1	0.5	0.505	0.838	0
202	2	0.500333	0.503667	0.880333	0
202	3	0.500667	0.504	0.882667	0
202	4	0.500667	0.507	0.895333	0
202	5	0.500667	0.503667	0.881	0
202	6	0.501333	0.506333	0.894333	0
202	7	0.500333	0.506667	0.893333	0
202	8	0.500333	0.505	0.885667	0
202	9	0.500667	0.504667	0.887	0
202	10	0.500667	0.506	0.891667	0
202	11	0.501333	0.507667	0.899	0
202	12	0.500333	0.510333	0.902	0
202	13	0.500667	0.504333	0.884	0
202	14	0.501333	0.504333	0.887	0
202	15	0.501333	0.506	0.893667	0
202	16	0.500333	0.504667	0.883667	0
202	17	0.500667	0.506333	0.892	0
202	18	0.500333	0.509667	0.899333	0
202	19	0.500333	0.51	0.900667	0
202	20	0.500667	0.505	0.887667	0
202	21	0.502	0.504333	0.888	0
202	22	0.500333	0.511333	0.903333	0
202	23	0.501	0.504333	0.885667	0
202	24	0.501333	0.507	0.898333	0
202	25	0.501667	0.506667	0.897667	0
202	26	0.500667	0.508667	0.898333	0
202	27	0.502	0.505667	0.892667	0
202	28	0.500333	0.508667	0.894	0
202	29	0.502	0.508	0.899667	0
202	30	0.501667	0.507333	0.899	1
202	31	0.501333	0.504667	0.888667	0
202	32	0.501667	0.504667	0.889	0
202	33	0.502333	0.505333	0.891667	0
202	34	0.501333	0.505333	0.889333	0
202	35	0.500667	0.511	0.902333	0
202	36	0.501333	0.506667	0.896333	0
202	37	0.501	0.508	0.898333	0
202	38	0.501667	0.505667	0.892	0
202	39	0.500333	0.506333	0.888667	0
202	40	0.501	0.505667	0.891333	0
202	41	0.501	0.511	0.904	0
202	42	0.500333	0.505333	0.886667	0
202	43	0.501	0.505333	0.888667	0
202	44	0.501	0.504667	0.888333	0
202	45	0.501667	0.508333	0.899667	0
202	46	0.501333	0.507333	0.898667	0
202	47	0.501667	0.506333	0.896	0
202	48	0.500667	0.508333	0.896667	0
202	49	0.501	0.507	0.897	0
202	50	0.500667	0.507333	0.896333	0
202	51	0.502333	0.507	0.898667	0
202	52	0.501333	0.510667	0.903	0
202	53	0.501	0.507333	0.898	0
203	1	0.5	0.502667	0.743667	0
203	2	0.5	0.503	0.744	0
203	3	0.500667	0.501667	0.862333	0
203	4	0.500667	0.502667	0.869333	0
203	5	0.500333	0.503	0.869667	0
203	6	0.500333	0.504667	0.883333	0
203	7	0.500333	0.503333	0.870667	0
203	8	0.500333	0.506	0.887333	0
203	9	0.500333	0.505667	0.886333	0
203	10	0.500667	0.505333	0.889	0
203	11	0.501333	0.503	0.87	0
203	12	0.501	0.510667	0.898333	0
203	13	0.501	0.504333	0.884667	0
203	14	0.500667	0.512333	0.904333	0
203	15	0.501	0.511	0.899333	0
203	16	0.500333	0.512667	0.903667	0
203	17	0.501333	0.506667	0.892	0
203	18	0.502	0.509333	0.895	0
203	19	0.500667	0.508667	0.892	0
203	20	0.501333	0.505667	0.890667	0
203	21	0.501	0.502333	0.863	0
203	22	0.501	0.507667	0.892	0
203	23	0.501333	0.505	0.888333	0
203	24	0.500667	0.509667	0.896667	0
203	25	0.500333	0.51	0.895	0
203	26	0.501	0.504	0.884	0
203	27	0.502	0.505667	0.891	0
203	28	0.501333	0.505333	0.889333	0
203	29	0.500667	0.510333	0.898	0
203	30	0.500667	0.511333	0.901	0
203	31	0.501667	0.505	0.889	0
203	32	0.502	0.513667	0.906667	0
203	33	0.501	0.513333	0.906	0
203	34	0.501667	0.504667	0.888667	0
203	35	0.501667	0.511333	0.902	0
203	36	0.501	0.509	0.893333	0
203	37	0.500333	0.511	0.897667	0
203	38	0.501333	0.513	0.906333	0
203	39	0.500667	0.504	0.883333	0
203	40	0.501667	0.505333	0.890333	0
203	41	0.501	0.506	0.890667	0
203	42	0.502333	0.507	0.894667	0
203	43	0.501	0.512667	0.905	0
203	44	0.500667	0.506667	0.891	0
203	45	0.501	0.512	0.903333	0
203	46	0.501333	0.508333	0.893	0
203	47	0.501333	0.506	0.891333	0
203	48	0.500333	0.512	0.900667	0
203	49	0.502333	0.506	0.892333	0
203	50	0.500667	0.513	0.905333	0
203	51	0.502333	0.508	0.895	0
203	52	0.500667	0.504333	0.884	0
203	53	0.502	0.512667	0.906	0
203	54	0.500667	0.512	0.902333	0
203	55	0.500333	0.512333	0.903	0
203	56	0.500333	0.511333	0.899667	0
203	57	0.501333	0.507333	0.892333	0
203	58	0.501333	0.508667	0.893667	0
203	59	0.500333	0.506667	0.889667	0
203	60	0.501333	0.511667	0.904	1
203	61	0.502	0.503333	0.871	0
203	62	0.502333	0.504667	0.889667	0
203	63	0.502667	0.506	0.892667	0
203	64	0.501	0.506667	0.891667	0
203	65	0.501333	0.511333	0.901333	0
203	66	0.501	0.508333	0.892333	0
203	67	0.501333	0.504333	0.886667	0
203	68	0.501	0.504667	0.887	0
203	69	0.500333	0.510333	0.897333	0
203	70	0.501667	0.512333	0.905667	0
203	71	0.502667	0.508	0.895667	0
203	72	0.500667	0.511667	0.902	0
203	73	0.502	0.504333	0.889333	0
203	74	0.501667	0.506667	0.893333	0
203	75	0.502	0.506333	0.894333	0
204	1	0.500333	0.502333	0.860333	0
204	2	0.500333	0.504333	0.892	0
204	3	0.500333	0.507333	0.898333	0
204	4	0.500667	0.502667	0.888667	0
204	5	0.500333	0.509667	0.904333	0
204	6	0.500333	0.502667	0.861333	0
204	7	0.501667	0.51	0.910333	0
204	8	0.501	0.512667	0.91	0
204	9	0.500333	0.503333	0.89	0
204	10	0.500667	0.510667	0.908667	0
204	11	0.501667	0.509333	0.909333	1
204	12	0.501	0.51	0.909	0
204	13	0.500333	0.503667	0.890667	0
204	14	0.500333	0.507667	0.899	0
204	15	0.500333	0.505	0.894667	0
204	16	0.501	0.509667	0.908333	0
204	17	0.500667	0.507333	0.898667	0
204	18	0.501333	0.509333	0.908667	0
204	19	0.500333	0.508	0.899333	0
204	20	0.501667	0.508667	0.907	0
204	21	0.501333	0.51	0.909667	0
204	22	0.500333	0.507	0.898	0
204	23	0.500667	0.509333	0.906	0
204	24	0.500333	0.503	0.887667	0
204	25	0.500667	0.512667	0.909	0
204	26	0.501	0.505	0.898333	0
204	27	0.500333	0.51	0.906	0
204	28	0.501	0.509	0.906333	0
204	29	0.500667	0.504	0.893	0
204	30	0.500667	0.505	0.897	0
204	31	0.501333	0.508333	0.905333	0
204	32	0.500667	0.51	0.907	0
204	33	0.501	0.504	0.893667	0
204	34	0.501667	0.509667	0.909667	0
204	35	0.501333	0.508	0.904	0
204	36	0.500333	0.505333	0.895333	0
204	37	0.501	0.509333	0.907	0
204	38	0.500667	0.508	0.900667	0
204	39	0.500667	0.508667	0.903667	0
204	40	0.500667	0.503	0.889667	0
204	41	0.501	0.504667	0.897	0
204	42	0.500333	0.508333	0.899667	0
204	43	0.500667	0.504667	0.895	0
204	44	0.500667	0.509667	0.906667	0
204	45	0.501667	0.503667	0.892667	0
204	46	0.501333	0.507333	0.899333	0
204	47	0.501667	0.509	0.907667	0
204	48	0.501333	0.509667	0.909	0
204	49	0.501333	0.503667	0.891667	0
204	50	0.502	0.510667	0.910667	0
204	51	0.500667	0.503333	0.890667	0
204	52	0.501	0.507667	0.9	0
204	53	0.500667	0.505333	0.897333	0
204	54	0.501	0.508	0.903667	0
204	55	0.501333	0.509	0.906667	0
204	56	0.501	0.505333	0.899	0
205	1	0.5	0.505333	0.859	0
205	2	0.500333	0.504667	0.861333	0
205	3	0.500667	0.504333	0.862667	0
205	4	0.501333	0.505	0.870333	0
205	5	0.500333	0.508	0.884333	0
205	6	0.500333	0.504333	0.858333	0
205	7	0.502	0.509667	0.894667	0
205	8	0.500333	0.505	0.865	0
205	9	0.500667	0.509333	0.893333	0
205	10	0.500667	0.506	0.870667	0
205	11	0.501333	0.507667	0.885333	0
205	12	0.500667	0.507667	0.884333	0
205	13	0.501667	0.507333	0.885	0
205	14	0.501667	0.514667	0.899667	0
205	15	0.500333	0.503	0.853	0
205	16	0.501667	0.505333	0.872333	0
205	17	0.501	0.51	0.895	0
205	18	0.501	0.504667	0.868333	0
205	19	0.501	0.507333	0.883667	0
205	20	0.500667	0.505333	0.870333	0
205	21	0.501667	0.507	0.884667	0
205	22	0.502333	0.515667	0.900667	0
205	23	0.501	0.507	0.881333	0
205	24	0.500667	0.503667	0.858667	0
205	25	0.500333	0.507667	0.884	0
205	26	0.501667	0.507667	0.885667	0
205	27	0.501667	0.505	0.872	0
205	28	0.502667	0.511	0.898333	0
205	29	0.502	0.512333	0.898667	0
205	30	0.500667	0.504	0.859333	0
205	31	0.501	0.511333	0.897333	0
205	32	0.500667	0.506333	0.876	0
205	33	0.500333	0.503333	0.854667	0
205	34	0.502667	0.512333	0.899333	0
205	35	0.500333	0.504	0.855667	0
205	36	0.504	0.511333	0.899	0
205	37	0.500333	0.506667	0.871	0
205	38	0.500667	0.502667	0.852333	0
205	39	0.501	0.504333	0.863	0
205	40	0.501667	0.506333	0.879667	0
205	41	0.502	0.514	0.899667	0
205	42	0.501	0.503333	0.856667	0
205	43	0.501667	0.508333	0.891333	0
205	44	0.500667	0.503333	0.856333	0
205	45	0.501	0.512	0.897667	0
205	46	0.502	0.513333	0.899	0
205	47	0.502667	0.511667	0.899	0
205	48	0.501	0.509	0.893667	0
205	49	0.501	0.508667	0.893	0
205	50	0.500667	0.512667	0.897	0
205	51	0.500667	0.514333	0.897667	0
205	52	0.501	0.514667	0.898	0
205	53	0.500667	0.506667	0.879667	0
205	54	0.500333	0.509	0.892	0
205	55	0.500667	0.505	0.869	0
205	56	0.503	0.512	0.899667	0
205	57	0.502	0.508	0.888333	0
205	58	0.500667	0.512333	0.896333	0
205	59	0.501333	0.515667	0.899667	0
205	60	0.501333	0.507333	0.884667	0
205	61	0.500667	0.507333	0.883	0
205	62	0.500667	0.51	0.893667	0
205	63	0.501667	0.509667	0.894333	0
205	64	0.501333	0.514	0.899333	0
205	65	0.500667	0.508667	0.892333	0
205	66	0.501	0.508	0.886	0
205	67	0.501	0.506	0.876333	0
205	68	0.502333	0.511667	0.898667	0
205	69	0.501333	0.512	0.898333	0
205	70	0.501333	0.511	0.898	0
205	71	0.501333	0.510667	0.897333	1
205	72	0.501667	0.508	0.886667	0
205	73	0.501667	0.515	0.900333	0
205	74	0.500333	0.510333	0.893	0
205	75	0.500333	0.506	0.868333	0
205	76	0.502	0.514667	0.9	0
205	77	0.500667	0.503	0.853333	0
205	78	0.501	0.503667	0.859	0
205	79	0.501	0.511	0.896667	0
205	80	0.501	0.506333	0.878667	0
205	81	0.502333	0.512	0.899	0
205	82	0.501667	0.509	0.894	0
205	83	0.501	0.508333	0.888667	0
205	84	0.500333	0.512	0.895333	0
205	85	0.501333	0.506	0.878667	0
205	86	0.501667	0.513667	0.899333	0
205	87	0.501	0.505667	0.875333	0
205	88	0.500667	0.510333	0.895667	0
206	1	0.5	0.514	0.885	0
206	2	0.500333	0.513667	0.893	0
206	3	0.500333	0.505333	0.878333	0
206	4	0.500333	0.505	0.878	0
206	5	0.500333	0.503667	0.872	0
206	6	0.500667	0.503	0.872	0
206	7	0.500333	0.509667	0.888333	0
206	8	0.500333	0.508667	0.886	0
206	9	0.500333	0.504333	0.877667	0
206	10	0.501	0.504667	0.881	0
206	11	0.501	0.508	0.885	0
206	12	0.500667	0.509	0.888667	0
206	13	0.500667	0.502667	0.859667	0
206	14	0.501	0.509333	0.891	0
206	15	0.501667	0.514	0.898	0
206	16	0.500667	0.505333	0.881	0
206	17	0.501	0.508667	0.888	0
206	18	0.501	0.509	0.89	0
206	19	0.502333	0.514333	0.898667	0
206	20	0.501	0.505333	0.882667	0
206	21	0.501667	0.509333	0.892	0
206	22	0.501667	0.510667	0.893333	0
206	23	0.501	0.510667	0.892667	0
206	24	0.501333	0.513667	0.896667	0
206	25	0.502667	0.508667	0.889667	0
206	26	0.501333	0.505333	0.883	0
206	27	0.500667	0.513667	0.895667	0
206	28	0.500667	0.515667	0.898	0
206	29	0.500667	0.504	0.877333	0
206	30	0.500333	0.515667	0.897	0
206	31	0.501333	0.504667	0.881333	0
206	32	0.500667	0.509333	0.890333	0
206	33	0.502	0.508333	0.887667	0
206	34	0.500667	0.508333	0.885333	0
206	35	0.500333	0.503333	0.858667	0
206	36	0.501	0.514333	0.898333	0
206	37	0.500667	0.504667	0.878667	0
206	38	0.502	0.513333	0.895667	0
206	39	0.501333	0.515	0.899	0
206	40	0.501667	0.515	0.899333	0
206	41	0.501333	0.504	0.879	0
206	42	0.502	0.516	0.900333	0
206	43	0.502	0.505667	0.883667	0
206	44	0.500667	0.505	0.879667	0
206	45	0.501	0.511	0.893333	0
206	46	0.500333	0.516	0.897333	0
206	47	0.501	0.503667	0.877667	0
206	48	0.500667	0.508	0.884333	0
206	49	0.502333	0.516333	0.900667	0
206	50	0.502667	0.51	0.893333	1
206	51	0.500333	0.504	0.877	0
206	52	0.500667	0.508667	0.887333	0
206	53	0.501	0.51	0.892	0
206	54	0.500667	0.516	0.898333	0
206	55	0.502	0.506	0.884	0
206	56	0.500333	0.515333	0.896667	0
206	57	0.501667	0.508667	0.889333	0
206	58	0.500667	0.510667	0.892	0
206	59	0.501333	0.505	0.881667	0
206	60	0.500667	0.503667	0.876	0
206	61	0.501667	0.51	0.893	0
206	62	0.500333	0.510333	0.891667	0
206	63	0.501667	0.507333	0.884333	0
206	64	0.501	0.502333	0.856	0
206	65	0.500667	0.505667	0.881333	0
206	66	0.501	0.514	0.897	0
206	67	0.501333	0.508333	0.887333	0
206	68	0.501667	0.512	0.894	0
206	69	0.501333	0.513333	0.895333	0
206	70	0.501333	0.508	0.886667	0
206	71	0.501667	0.516	0.9	0
206	72	0.501	0.513333	0.894	0
206	73	0.500667	0.502333	0.855667	0
206	74	0.502667	0.514667	0.899	0
206	75	0.501333	0.505667	0.883333	0
206	76	0.502333	0.510333	0.893333	0
206	77	0.502333	0.509667	0.892667	0
206	78	0.500333	0.515	0.895667	0
206	79	0.500333	0.506	0.879667	0
206	80	0.502	0.509333	0.892333	0
206	81	0.500333	0.507	0.880333	0
206	82	0.500667	0.514	0.896	0
206	83	0.501667	0.509	0.891667	0
206	84	0.500667	0.511	0.893	0
206	85	0.500667	0.51	0.890667	0
206	86	0.500667	0.506333	0.882	0
206	87	0.501667	0.515667	0.899667	0
207	1	0.500667	0.504667	0.889333	0
207	2	0.500333	0.504	0.868	0
207	3	0.500667	0.506667	0.899	0
207	4	0.500333	0.509	0.900667	0
207	5	0.500667	0.503667	0.868	0
207	6	0.501333	0.506333	0.899	0
207	7	0.500667	0.504333	0.886333	0
207	8	0.501667	0.506333	0.899333	0
207	9	0.501	0.504333	0.889667	0
207	10	0.500333	0.502333	0.786	0
207	11	0.501333	0.504	0.889	0
207	12	0.502	0.505	0.894333	0
207	13	0.500667	0.508	0.901667	0
207	14	0.501333	0.503333	0.887667	0
207	15	0.500667	0.509	0.902667	0
207	16	0.500667	0.506	0.895	0
207	17	0.500333	0.502667	0.842333	0
207	18	0.500333	0.506	0.889667	0
207	19	0.500333	0.503667	0.867667	0
207	20	0.500667	0.508667	0.902	0
207	21	0.501333	0.508333	0.903333	0
207	22	0.501333	0.505	0.893667	0
207	23	0.500333	0.507	0.897667	0
207	24	0.501333	0.504667	0.892667	0
207	25	0.501667	0.505	0.894	0
207	26	0.500667	0.502	0.785667	0
207	27	0.501	0.505333	0.893	0
207	28	0.500333	0.51	0.903333	0
207	29	0.500333	0.508333	0.899333	0
207	30	0.501667	0.505333	0.895667	0
207	31	0.501	0.503	0.843667	0
207	32	0.502	0.508	0.905	0
207	33	0.501667	0.506667	0.901333	0
207	34	0.501	0.502	0.786	0
207	35	0.501333	0.505333	0.895	0
207	36	0.501	0.507333	0.901	0
207	37	0.501	0.503333	0.886667	0
207	38	0.500333	0.505	0.888	0
207	39	0.500667	0.507	0.899667	0
207	40	0.501	0.507	0.900333	0
207	41	0.501333	0.506667	0.900333	0
207	42	0.501667	0.51	0.906	0
207	43	0.501	0.508667	0.903667	0
207	44	0.501	0.506667	0.899333	0
207	45	0.500667	0.504	0.885667	0
207	46	0.500333	0.509667	0.902333	0
207	47	0.501	0.508	0.902333	0
207	48	0.501	0.505	0.892	0
207	49	0.501667	0.508667	0.905333	0
207	50	0.500333	0.505333	0.888667	0
207	51	0.501	0.507667	0.901333	0
207	52	0.501667	0.509333	0.905667	0
207	53	0.501	0.506333	0.898	0
207	54	0.500333	0.505667	0.889333	0
207	55	0.503	0.506	0.896333	0
207	56	0.500333	0.504667	0.886333	0
207	57	0.500333	0.508667	0.9	0
207	58	0.500667	0.507667	0.900667	0
207	59	0.501667	0.505667	0.896	0
207	60	0.501333	0.505667	0.895333	0
207	61	0.502333	0.507667	0.904667	1
207	62	0.501667	0.507667	0.901667	0
207	63	0.501	0.509333	0.904	0
207	64	0.501667	0.508333	0.904667	0
208	1	0.500333	0.503	0.809667	0
208	2	0.500333	0.503667	0.842	0
208	3	0.500667	0.515667	0.891667	0
208	4	0.500667	0.509667	0.873667	0
208	5	0.5	0.509333	0.863667	0
208	6	0.500333	0.516667	0.891333	0
208	7	0.500667	0.503333	0.841667	0
208	8	0.501	0.502	0.802333	0
208	9	0.500667	0.502667	0.805333	0
208	10	0.5	0.516667	0.887333	0
208	11	0.500333	0.515333	0.888	0
208	12	0.500333	0.512333	0.883667	0
208	13	0.500333	0.506333	0.852333	0
208	14	0.501	0.510667	0.886	0
208	15	0.500333	0.516	0.891	0
208	16	0.501333	0.515	0.892667	0
208	17	0.500333	0.502667	0.804	0
208	18	0.500333	0.506667	0.853	0
208	19	0.500333	0.509667	0.87	0
208	20	0.502	0.504333	0.852333	0
208	21	0.502333	0.511333	0.888667	1
208	22	0.500333	0.507667	0.867333	0
208	23	0.500667	0.507333	0.867667	0
208	24	0.501	0.516667	0.894	0
208	25	0.500667	0.515333	0.891	0
208	26	0.502	0.510667	0.887333	0
208	27	0.502333	0.513667	0.891667	0
208	28	0.501333	0.508333	0.871333	0
208	29	0.502	0.504667	0.854	0
208	30	0.500667	0.505	0.852333	0
208	31	0.501333	0.507333	0.868667	0
208	32	0.501	0.507	0.867	0
208	33	0.501333	0.509667	0.882333	0
208	34	0.500333	0.512	0.883	0
208	35	0.501	0.51	0.884	0
208	36	0.500333	0.507	0.866	0
208	37	0.501	0.505	0.853333	0
208	38	0.500667	0.512667	0.887667	0
208	39	0.501667	0.513333	0.890667	0
208	40	0.502667	0.516	0.896667	0
208	41	0.502333	0.506333	0.864667	0
208	42	0.500333	0.504	0.844	0
208	43	0.501667	0.504667	0.853333	0
208	44	0.501	0.504333	0.851667	0
208	45	0.501667	0.511333	0.888333	0
208	46	0.500667	0.506333	0.863667	0
208	47	0.501	0.504667	0.852333	0
208	48	0.500667	0.504	0.844667	0
208	49	0.500667	0.502333	0.802667	0
208	50	0.500667	0.512	0.884	0
208	51	0.501667	0.510333	0.886667	0
208	52	0.500667	0.512333	0.886667	0
208	53	0.500667	0.507667	0.868667	0
208	54	0.500667	0.504667	0.851	0
208	55	0.502	0.514333	0.892	0
208	56	0.501333	0.507	0.868333	0
208	57	0.502	0.51	0.885333	0
208	58	0.500333	0.510667	0.882	0
208	59	0.502	0.516667	0.896667	0
208	60	0.501	0.506667	0.866667	0
208	61	0.500333	0.513333	0.887	0
208	62	0.501333	0.506	0.861667	0
208	63	0.501667	0.508667	0.872333	0
208	64	0.500333	0.510333	0.878333	0
208	65	0.501	0.514667	0.891	0
208	66	0.502	0.515667	0.896333	0
208	67	0.501	0.511333	0.886667	0
208	68	0.501667	0.505	0.853667	0
208	69	0.501333	0.513333	0.890333	0
208	70	0.501	0.512667	0.888667	0
208	71	0.501	0.507667	0.871	0
208	72	0.500667	0.51	0.880333	0
208	73	0.500667	0.516	0.892333	0
208	74	0.501333	0.512	0.888667	0
208	75	0.501333	0.514667	0.891333	0
208	76	0.501667	0.513667	0.891	0
208	77	0.501	0.505333	0.853667	0
208	78	0.501	0.515667	0.893667	0
208	79	0.502333	0.514667	0.893667	0
208	80	0.501333	0.512667	0.889	0
208	81	0.501	0.503333	0.842	0
208	82	0.502667	0.513333	0.891	0
208	83	0.501	0.504	0.850333	0
208	84	0.502	0.515	0.894	0
208	85	0.500667	0.504333	0.847333	0
208	86	0.500667	0.511667	0.882667	0
208	87	0.500333	0.51	0.878	0
208	88	0.501333	0.502333	0.803	0
208	89	0.502667	0.505	0.854667	0
208	90	0.500667	0.506667	0.864333	0
208	91	0.500667	0.509	0.870667	0
208	92	0.501333	0.511	0.888	0
208	93	0.501667	0.508333	0.872	0
208	94	0.502	0.515333	0.895667	0
208	95	0.501333	0.505333	0.855667	0
208	96	0.501	0.511667	0.888333	0
208	97	0.503	0.515667	0.896667	0
208	98	0.501333	0.517667	0.896	0
208	99	0.502	0.508667	0.872667	0
208	100	0.501667	0.515667	0.895333	0
208	101	0.501667	0.514667	0.892333	0
208	102	0.501333	0.515333	0.894333	0
209	1	0.5	0.506	0.885333	0
209	2	0.500333	0.502	0.856333	0
209	3	0.500667	0.502667	0.873333	0
209	4	0.500333	0.502333	0.857	0
209	5	0.500333	0.502667	0.873	0
209	6	0.501	0.506333	0.909333	1
209	7	0.500333	0.503667	0.892667	0
209	8	0.500667	0.506333	0.908	0
209	9	0.500667	0.505	0.898	0
209	10	0.500333	0.503	0.873333	0
209	11	0.500667	0.503	0.891	0
209	12	0.501	0.506	0.907333	0
209	13	0.500333	0.507	0.907667	0
209	14	0.500667	0.507333	0.909	0
209	15	0.500667	0.504333	0.896	0
209	16	0.500333	0.503333	0.888667	0
209	17	0.502333	0.507333	0.911	0
209	18	0.501	0.507333	0.910333	0
209	19	0.501	0.504	0.895667	0
209	20	0.500667	0.505667	0.901333	0
209	21	0.502	0.507667	0.911333	0
209	22	0.500667	0.506	0.906333	0
209	23	0.501333	0.505333	0.902667	0
209	24	0.500667	0.507667	0.909333	0
209	25	0.500333	0.506	0.899667	0
209	26	0.500333	0.506667	0.907	0
209	27	0.500667	0.503333	0.891333	0
209	28	0.500667	0.504	0.895333	0
209	29	0.501667	0.508	0.911	0
209	30	0.500667	0.508333	0.909667	0
209	31	0.500333	0.506333	0.900667	0
209	32	0.501	0.506667	0.91	0
209	33	0.500333	0.505	0.895	0
209	34	0.501333	0.508	0.910667	0
209	35	0.501	0.505667	0.901667	0
209	36	0.501667	0.508333	0.911333	0
210	1	0.5	0.506667	0.863	0
210	2	0.500667	0.503667	0.870667	0
210	3	0.500667	0.505667	0.880333	0
210	4	0.501333	0.502	0.863667	0
210	5	0.500333	0.501667	0.823333	0
210	6	0.500667	0.504	0.874	0
210	7	0.500333	0.509333	0.894	0
